sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
EE 23,clay loam,7.7,7.75,132,1395,1657,4917,29,3.5,4.58,390,70,4.66,22.98,7.78,30.03,53.48,8.7,1.61,15.72,1.89,
EE 24,clay loam,8.5,7.8,93,1335,1469,8954,28,5.02,4.62,336,46,4.46,31.81,5.37,19.23,70.35,5.02,1.78,11.03,1.15,
EE 105,sandy clay loam,7.7,7.75,130,1404,1366,4348,29,2.72,4.86,440,102,4.63,20.36,8.84,27.95,53.38,9.82,1.52,15.81,1.6,
EE 106,sandy clay loam,7.4,7.75,114,1505,1371,4140,27,2.56,4.89,431,103,4.58,19.99,9.65,28.57,51.77,10,1.32,15.69,2.16,
EE 107,sandy clay loam,7.5,7.75,102,1419,1396,4368,30,2.79,4.26,442,100,4.74,20.55,8.85,28.29,53.12,9.72,1.35,19.11,1.76,
EE 108,sandy clay loam,7.5,7.75,117,1577,1379,4282,37,3,5.51,444,104,4.69,20.47,9.87,28.06,52.28,9.76,1.37,22.62,1.72,
BE 13,clay loam,6.7,7.65,142,1760,1375,4605,26,2.03,3.89,351,143,6.24,22.29,10.11,25.69,51.63,12.55,1.5,12.73,1.45,
BE 14,clay loam,7.3,7.7,165,1573,1461,5130,22,2.74,5.44,449,92,6.22,23.32,8.64,26.09,54.97,10.28,1.64,10.55,1.05,
BE 15,clay loam,7.4,7.7,142,1241,1504,5115,17,2.33,5.93,454,104,6.04,23.04,6.9,27.19,55.48,10.41,1.67,11,3.73,
BE 16,clay loam,7.4,7.7,109,1261,1420,4920,19,2.45,4.58,473,80,6.3,22.23,7.27,26.61,55.32,10.79,1.65,7.7,1.13,
BE 17,clay loam,7.5,7.75,149,1743,1411,5054,23,3.3,6.76,476,80,5.84,22.74,9.82,25.84,55.54,8.79,1.84,18.6,2.82,
BE 18,clay loam,7.1,7.7,97,1308,1598,4925,31,2.66,5.95,486,72,6.2,23.04,7.27,28.88,53.42,10.41,1.68,42.49,1.73,
BE 19,clay loam,7.4,7.7,134,1415,1659,5056,24,2.77,7.02,449,77,6.17,23.76,7.63,29.08,53.18,10.09,1.8,18.36,1.07,
BE 20,clay loam,7.6,7.7,195,1569,1579,5201,24,2.93,8.38,463,83,6.39,23.99,8.38,27.42,54.19,10,1.76,14.63,1.29,
BS 97,sandy clay loam,7.8,7.7,26,1469,1422,5310,31,3.26,2.21,337,75,5.25,23.48,8.01,25.23,56.52,10.22,1.53,17.69,1.41,
